year,league,team,pred_RS,pred_RA,actual_W,actual_RS,actual_RA,median_wins,ci_lo,ci_hi,covered,error
2018,CL,DeNA,576.9,549.0,67.0,572.0,642.0,74.8,61.5,88.3,True,7.8
2018,CL,ヤクルト,555.1,616.0,75.0,658.0,665.0,64.8,52.3,77.8,True,-10.2
2018,CL,中日,502.2,564.2,63.0,598.0,654.0,63.8,50.0,77.7,True,0.8
2018,CL,巨人,561.4,548.5,67.0,625.0,575.0,73.0,59.3,86.3,True,6.0
2018,CL,広島,636.9,532.9,82.0,721.0,651.0,83.1,70.2,95.2,True,1.1
2018,CL,阪神,559.0,561.5,62.0,577.0,628.0,71.1,57.5,84.4,True,9.1
2018,PL,オリックス,541.3,574.5,65.0,538.0,565.0,67.5,54.0,81.1,True,2.5
2018,PL,ソフトバンク,605.2,534.9,82.0,685.0,579.0,79.8,66.5,92.6,True,-2.2
2018,PL,ロッテ,502.7,575.1,59.0,534.0,628.0,62.6,49.0,76.5,True,3.6
2018,PL,日本ハム,547.6,570.2,74.0,589.0,586.0,68.7,55.6,82.1,True,-5.3
2018,PL,楽天,545.8,545.6,58.0,520.0,583.0,71.3,57.7,85.3,True,13.3
2018,PL,西武,595.7,557.0,88.0,792.0,653.0,75.7,62.9,88.9,True,-12.3
2019,CL,DeNA,622.0,578.4,71.0,596.0,611.0,76.4,63.6,88.6,True,5.4
2019,CL,ヤクルト,600.5,620.5,59.0,656.0,739.0,69.3,57.2,81.2,True,10.3
2019,CL,中日,567.3,617.2,68.0,563.0,544.0,66.0,53.6,78.7,True,-2.0
2019,CL,巨人,613.7,569.1,77.0,663.0,573.0,76.4,63.5,88.9,True,-0.6
2019,CL,広島,615.7,561.3,70.0,591.0,601.0,77.5,64.5,90.0,True,7.5
2019,CL,阪神,573.6,581.5,69.0,538.0,566.0,70.7,57.9,83.4,True,1.7
2019,PL,オリックス,542.1,590.8,61.0,544.0,637.0,65.9,52.7,79.0,True,4.9
2019,PL,ソフトバンク,620.6,570.5,76.0,582.0,564.0,76.7,64.5,89.2,True,0.7
2019,PL,ロッテ,546.7,600.8,69.0,642.0,611.0,65.1,52.3,78.2,True,-3.9
2019,PL,日本ハム,551.5,579.4,65.0,560.0,586.0,68.0,55.0,81.7,True,3.0
2019,PL,楽天,572.5,574.2,71.0,614.0,578.0,71.2,58.0,84.3,True,0.2
2019,PL,西武,621.5,603.8,80.0,756.0,695.0,73.4,60.8,85.6,True,-6.6
2020,CL,DeNA,572.7,594.9,56.0,516.0,474.0,58.1,47.1,68.7,True,2.1
2020,CL,ヤクルト,593.7,632.7,41.0,468.0,589.0,56.5,46.3,66.6,False,15.5
2020,CL,中日,578.5,614.2,60.0,429.0,489.0,56.6,46.1,67.1,True,-3.4
2020,CL,巨人,638.8,580.1,67.0,532.0,421.0,65.3,55.0,75.6,True,-1.7
2020,CL,広島,616.8,583.9,52.0,523.0,529.0,62.9,52.5,73.4,False,10.9
2020,CL,阪神,593.2,595.2,60.0,494.0,460.0,59.7,49.2,70.3,True,-0.3
