team,pf_avg,rs_delta,ra_delta,wins_delta,mae_base,mae_pf,cov_base,cov_pf,n
中日,0.832125,47.1875,50.5,0.0,5.7375,5.7375,0.875,0.875,8
阪神,0.904875,28.025,27.5125,0.0125,5.137499999999999,5.15,1.0,1.0,8
オリックス,0.955875,11.8875,11.875,0.0125,6.3375,6.35,0.875,0.875,8
広島,0.9605,11.575,11.125,0.0,6.35,6.35,0.875,0.875,8
楽天,0.98175,4.699999999999999,5.15,0.0,4.625,4.625,0.875,1.0,8
ソフトバンク,0.9971249999999999,0.7999999999999999,0.825,0.0,7.5,7.5,0.75,0.75,8
日本ハム,1.0055,-0.4249999999999998,-0.14999999999999947,0.0,7.5625,7.5625,0.875,0.875,8
ロッテ,1.034125,-7.725,-7.625,0.0,3.425,3.425,1.0,1.0,8
巨人,1.0415,-12.325,-10.95,0.0,6.5874999999999995,6.5874999999999995,0.875,0.875,8
西武,1.062125,-17.6875,-17.65,0.0,6.75,6.75,0.875,0.875,8
DeNA,1.100875,-27.1375,-26.5375,0.0125,4.4875,4.5,0.875,0.875,8
ヤクルト,1.181625,-47.675,-48.987500000000004,0.025,12.4375,12.4375,0.625,0.625,8
