year,league,team,actual_W,actual_RS,actual_RA,pf_1yr,pf_5yr,pred_RS_base,pred_RA_base,median_wins_base,error_wins_base,rs_error_base,ra_error_base,covered_base,pred_RS_1yr,pred_RA_1yr,median_wins_1yr,error_wins_1yr,rs_error_1yr,ra_error_1yr,covered_1yr,pred_RS_5yr,pred_RA_5yr,median_wins_5yr,error_wins_5yr,rs_error_5yr,ra_error_5yr,covered_5yr
2018,CL,阪神,62.0,577.0,628.0,0.804,0.87,559.0,561.5,71.1,9.1,-18.0,-66.5,True,619.7,622.5,71.1,9.1,42.7,-5.5,True,597.9,600.6,71.1,9.1,20.9,-27.4,True
2018,CL,ヤクルト,75.0,658.0,665.0,1.319,1.277,555.1,616.0,64.8,-10.2,-102.9,-49.0,True,478.7,531.3,64.8,-10.2,-179.3,-133.7,True,487.5,541.1,64.8,-10.2,-170.5,-123.9,True
2018,CL,巨人,67.0,625.0,575.0,1.044,0.992,561.4,548.5,73.0,6.0,-63.6,-26.5,True,549.3,536.7,72.9,5.9,-75.7,-38.3,True,563.6,550.7,73.0,6.0,-61.4,-24.3,True
2018,CL,DeNA,67.0,572.0,642.0,1.107,1.122,576.9,549.0,74.8,7.8,4.9,-93.0,True,547.6,521.2,74.8,7.8,-24.4,-120.8,True,543.7,517.5,74.8,7.8,-28.3,-124.5,True
2018,PL,ソフトバンク,82.0,685.0,579.0,0.969,1.009,605.2,534.9,79.8,-2.2,-79.8,-44.1,True,614.7,543.4,79.8,-2.2,-70.3,-35.6,True,602.5,532.5,79.8,-2.2,-82.5,-46.5,True
2018,PL,オリックス,65.0,538.0,565.0,0.963,0.97,541.3,574.5,67.5,2.5,3.3,9.5,True,551.5,585.4,67.5,2.5,13.5,20.4,True,549.6,583.3,67.5,2.5,11.6,18.3,True
2018,PL,楽天,58.0,520.0,583.0,1.013,1.079,545.8,545.6,71.3,13.3,25.8,-37.4,True,542.2,542.1,71.3,13.3,22.2,-40.9,True,525.0,524.9,71.3,13.3,5.0,-58.1,True
2018,PL,日本ハム,74.0,589.0,586.0,0.98,0.968,547.6,570.2,68.7,-5.3,-41.4,-15.8,True,553.1,576.0,68.7,-5.3,-35.9,-10.0,True,556.5,579.5,68.7,-5.3,-32.5,-6.5,True
2018,CL,中日,63.0,598.0,654.0,0.789,0.808,502.2,564.2,63.8,0.8,-95.8,-89.8,True,561.5,630.7,63.8,0.8,-36.5,-23.3,True,555.6,624.1,63.8,0.8,-42.4,-29.9,True
2018,PL,西武,88.0,792.0,653.0,1.23,1.111,595.7,557.0,75.7,-12.3,-196.3,-96.0,True,534.2,499.6,75.7,-12.3,-257.8,-153.4,True,564.4,527.8,75.7,-12.3,-227.6,-125.2,True
