AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age,data_years,marcel_wOBA,stan_wOBA,stan_delta_wOBA
0.264,0.325,0.322,0.647,2.2,36.1,14.2,47.7,95.1,145.3,中野 拓夢,阪神,637,2026,29,3,0.30257,0.31075,0.00818
0.289,0.342,0.369,0.696,3.9,29.7,12.7,40.8,72.9,144.3,岡林 勇希,中日,577,2026,24,3,0.32858,0.34364,0.01506
0.26,0.352,0.395,0.752,14.2,70.0,4.0,68.4,100.8,133.4,大山 悠輔,阪神,582,2026,31,3,0.34329,0.34721,0.00392
0.257,0.336,0.409,0.768,7.4,32.8,2.0,26.8,43.9,64.8,柳田 悠岐,ソフトバンク,264,2026,37,3,0.33967,0.33819,-0.00148
0.287,0.398,0.478,0.885,15.4,58.6,4.8,69.6,75.0,112.7,近藤 健介,ソフトバンク,460,2026,32,3,0.39785,0.39312,-0.00473
0.262,0.314,0.383,0.702,11.9,63.7,1.3,38.0,69.2,142.3,佐野 恵太,DeNA,579,2026,31,3,0.31848,0.33412,0.01564
0.287,0.338,0.48,0.812,19.5,66.2,5.7,28.7,76.2,130.1,牧 秀悟,DeNA,501,2026,27,3,0.36618,0.36726,0.00108
0.236,0.328,0.376,0.721,13.9,51.8,2.3,58.2,94.3,108.7,浅村 栄斗,楽天,496,2026,35,3,0.32353,0.32353,0.0
0.262,0.374,0.5,0.865,24.2,63.6,6.3,63.8,120.5,94.7,村上 宗隆,ヤクルト,446,2026,26,3,0.39278,0.37374,-0.01904
0.284,0.367,0.518,0.885,22.5,66.0,1.8,50.3,76.5,116.8,岡本 和真,巨人,473,2026,29,3,0.39544,0.38977,-0.00567
0.228,0.306,0.298,0.626,3.4,29.8,1.5,39.4,47.9,85.9,中村 晃,ソフトバンク,394,2026,36,3,0.28372,0.29674,0.01302
0.272,0.348,0.366,0.719,6.0,44.2,24.3,61.8,89.9,153.5,近本 光司,阪神,625,2026,31,3,0.33075,0.33632,0.00557
0.217,0.293,0.315,0.62,4.8,23.4,2.2,27.0,53.1,64.0,中村 奨吾,ロッテ,317,2026,33,3,0.28279,0.30071,0.01792
0.259,0.322,0.438,0.748,18.8,59.1,3.3,40.6,122.1,117.7,万波 中正,日本ハム,525,2026,25,3,0.3425,0.34141,-0.00109
0.272,0.354,0.462,0.811,19.9,62.6,1.9,54.5,132.2,122.0,細川 成也,中日,522,2026,27,3,0.36837,0.35861,-0.00976
0.229,0.305,0.338,0.655,7.6,41.3,11.7,43.5,88.3,101.9,外崎 修汰,西武,482,2026,33,3,0.29751,0.30516,0.00765
0.265,0.312,0.395,0.708,8.4,40.0,6.3,24.7,56.1,99.9,中川 圭太,オリックス,411,2026,29,3,0.3217,0.33512,0.01342
0.233,0.292,0.296,0.598,2.2,20.0,9.8,25.0,47.8,82.4,松本 剛,日本ハム,379,2026,32,3,0.27545,0.29286,0.01741
0.233,0.307,0.3,0.609,3.6,25.7,26.1,41.0,77.8,94.0,小深田 大翔,楽天,460,2026,30,3,0.28498,0.29142,0.00644
0.273,0.34,0.498,0.832,25.2,82.4,6.3,47.8,140.4,132.6,佐藤 輝明,阪神,551,2026,27,3,0.37371,0.35877,-0.01494
0.245,0.299,0.385,0.696,16.2,66.6,3.1,40.0,85.6,134.6,オスナ,ヤクルト,570,2026,33,3,0.3111,0.32473,0.01363
0.245,0.299,0.323,0.625,1.8,11.8,3.2,11.9,25.7,42.6,関根 大気,DeNA,190,2026,30,3,0.2889,0.28811,-0.00079
