year,team,actual_PA,model_PA,PA_cov,actual_IP,model_IP,IP_cov,actual_RS,model_RS_raw,actual_RA,model_RA_raw,actual_W,n_hitters,n_pitchers
2018,DeNA,5344,3376,63.2,1269.0,888.7,70.0,572.0,381.2,642.0,339.4,67,14,14
2018,オリックス,5373,4051,75.4,1274.7,741.0,58.1,538.0,436.3,565.0,293.8,65,14,9
2018,ソフトバンク,5445,4557,83.7,1277.7,970.3,75.9,685.0,520.4,579.0,349.7,82,14,13
2018,ヤクルト,5582,3827,68.6,1274.3,824.0,64.7,658.0,424.1,665.0,351.4,75,11,11
2018,ロッテ,5412,4083,75.4,1276.7,868.0,68.0,534.0,408.7,628.0,331.6,59,11,11
2018,中日,5431,4330,79.7,1241.0,603.0,48.6,598.0,465.1,654.0,238.9,63,12,10
2018,巨人,5486,3279,59.8,1279.0,784.7,61.4,625.0,357.0,575.0,283.5,67,12,10
2018,広島,5663,4907,86.7,1282.0,982.3,76.6,721.0,562.2,651.0,345.2,82,15,11
2018,日本ハム,5450,4625,84.9,1275.7,997.7,78.2,589.0,493.6,586.0,383.9,74,16,15
2018,楽天,5394,4114,76.3,1289.3,1014.7,78.7,520.0,432.1,583.0,360.1,58,13,13
2018,西武,5638,5285,93.7,1277.3,824.7,64.6,792.0,609.9,653.0,313.3,88,13,11
2018,阪神,5553,4296,77.4,1276.0,943.7,74.0,577.0,454.6,628.0,348.3,62,14,12
2019,DeNA,5375,4710,87.6,1274.0,820.3,64.4,596.0,530.6,611.0,345.1,71,16,12
2019,オリックス,5391,3727,69.1,1283.7,896.7,69.9,544.0,384.2,637.0,363.2,61,17,13
2019,ソフトバンク,5345,4723,88.4,1278.0,927.3,72.6,582.0,522.1,564.0,359.7,76,15,13
2019,ヤクルト,5572,3500,62.8,1270.0,770.3,60.7,656.0,402.3,739.0,338.7,59,12,10
2019,ロッテ,5503,3990,72.5,1280.7,984.3,76.9,642.0,420.9,611.0,425.8,69,11,13
2019,中日,5350,3934,73.5,1269.0,1109.7,87.4,563.0,425.9,544.0,470.4,68,12,16
2019,巨人,5537,4189,75.7,1279.3,783.3,61.2,663.0,469.6,573.0,290.2,77,15,10
2019,広島,5504,4865,88.4,1280.3,857.0,66.9,591.0,577.9,601.0,312.9,70,15,10
2019,日本ハム,5428,5570,102.6,1265.7,899.3,71.1,560.0,594.0,586.0,373.8,65,17,15
2019,楽天,5506,2983,54.2,1284.3,817.0,63.6,614.0,325.0,578.0,318.6,71,10,13
2019,西武,5619,5946,105.8,1281.7,721.3,56.3,756.0,686.5,695.0,306.8,80,12,9
2019,阪神,5465,3218,58.9,1289.7,741.0,57.5,538.0,358.6,566.0,294.3,69,11,11
2020,DeNA,4501,3542,78.7,1045.0,818.0,78.3,516.0,385.7,474.0,349.2,56,14,14
2020,オリックス,4467,3362,75.3,1054.0,854.3,81.1,442.0,341.2,502.0,352.9,45,17,14
2020,ソフトバンク,4480,3619,80.8,1066.3,616.0,57.8,531.0,409.2,389.0,235.2,73,14,10
2020,ヤクルト,4552,3572,78.5,1063.0,523.7,49.3,468.0,396.2,589.0,239.6,41,15,8
2020,ロッテ,4505,3940,87.5,1055.7,825.0,78.1,461.0,423.7,479.0,357.2,60,14,11
2020,中日,4437,4230,95.3,1055.0,691.7,65.6,429.0,460.9,489.0,257.5,60,15,14
2020,巨人,4519,3206,70.9,1060.7,609.7,57.5,532.0,370.1,421.0,233.9,67,14,12
2020,広島,4609,3478,75.5,1069.0,632.7,59.2,523.0,392.7,529.0,247.2,52,13,9
2020,日本ハム,4560,3709,81.3,1054.3,713.0,67.6,493.0,398.1,528.0,282.3,53,13,14
2020,楽天,4628,2731,59.0,1055.7,819.7,77.6,557.0,306.0,522.0,310.7,55,9,14
2020,西武,4440,3253,73.3,1049.0,715.0,68.2,479.0,366.4,543.0,303.7,58,9,12
2020,阪神,4475,2998,67.0,1054.3,689.7,65.4,494.0,317.9,460.0,270.4,60,14,9
2021,DeNA,5340,3479,65.1,1248.3,891.0,71.4,559.0,404.8,624.0,373.5,54,12,15
2021,オリックス,5258,4243,80.7,1254.0,719.3,57.4,551.0,450.9,500.0,272.1,70,14,8
2021,ソフトバンク,5298,4431,83.6,1255.3,809.3,64.5,564.0,501.5,493.0,296.7,60,15,13
2021,ヤクルト,5399,3530,65.4,1260.3,672.7,53.4,625.0,412.9,531.0,299.4,73,11,11
2021,ロッテ,5329,4600,86.3,1264.0,812.0,64.2,584.0,490.6,570.0,335.8,67,15,10
2021,中日,5073,3486,68.7,1243.0,864.7,69.6,405.0,377.7,478.0,329.9,55,11,11
2021,巨人,5241,4225,80.6,1252.7,1164.3,92.9,552.0,485.9,541.0,435.2,61,15,16
2021,広島,5361,3085,57.5,1253.7,744.3,59.4,557.0,352.7,589.0,282.0,63,10,9
2021,日本ハム,5251,4169,79.4,1255.7,997.0,79.4,454.0,438.7,515.0,396.5,55,18,13
2021,楽天,5386,4374,81.2,1260.0,754.3,59.9,532.0,482.1,507.0,301.6,66,13,10
2021,西武,5245,3866,73.7,1250.7,1001.3,80.1,521.0,429.0,589.0,443.6,55,12,15
2021,阪神,5265,3764,71.5,1257.0,1109.0,88.2,541.0,420.3,508.0,400.9,77,13,15
2022,DeNA,5275,4437,84.1,1274.0,897.7,70.5,497.0,488.2,534.0,359.2,73,15,12
2022,オリックス,5379,4309,80.1,1281.3,838.3,65.4,490.0,446.9,458.0,285.8,76,14,9
2022,ソフトバンク,5384,4469,83.0,1278.0,1096.7,85.8,555.0,469.5,471.0,378.7,76,14,16
2022,ヤクルト,5446,3810,70.0,1294.7,998.7,77.1,619.0,438.8,566.0,406.8,80,12,13
2022,ロッテ,5300,3997,75.4,1274.7,1150.0,90.2,501.0,424.4,536.0,450.1,69,14,13
2022,中日,5284,3642,68.9,1272.0,916.0,72.0,414.0,378.7,495.0,312.9,66,11,13
2022,巨人,5341,4566,85.5,1274.0,611.0,48.0,548.0,504.9,589.0,226.1,68,18,8
2022,広島,5394,3588,66.5,1280.3,787.3,61.5,552.0,381.4,544.0,288.5,66,13,9
2022,日本ハム,5177,3732,72.1,1266.0,671.0,53.0,463.0,367.0,534.0,239.3,59,18,10
2022,楽天,5458,3739,68.5,1279.7,943.0,73.7,533.0,413.6,522.0,350.5,69,11,12
2022,西武,5201,3874,74.5,1273.3,862.3,67.7,464.0,410.6,448.0,349.2,72,14,11
2022,阪神,5323,4630,87.0,1281.0,856.0,66.8,489.0,481.9,428.0,293.7,68,16,13
2023,DeNA,5331,4208,78.9,1289.3,893.7,69.3,520.0,463.8,496.0,332.1,74,14,12
2023,オリックス,5324,3611,67.8,1290.0,923.3,71.6,508.0,361.8,428.0,287.9,86,13,13
2023,ソフトバンク,5454,4009,73.5,1279.7,852.0,66.6,536.0,420.5,507.0,280.2,71,13,13
2023,ヤクルト,5358,4527,84.5,1267.7,874.3,69.0,534.0,508.6,567.0,324.4,57,15,12
2023,ロッテ,5414,3661,67.6,1283.0,567.0,44.2,505.0,375.5,524.0,188.0,70,11,6
2023,中日,5251,3238,61.7,1287.3,905.7,70.4,390.0,329.8,498.0,312.2,56,12,14
2023,巨人,5352,3710,69.3,1276.3,677.0,53.0,523.0,416.5,507.0,237.7,71,12,8
2023,広島,5241,4150,79.2,1275.0,958.7,75.2,493.0,445.1,508.0,353.4,74,15,13
2023,日本ハム,5248,4001,76.2,1268.7,991.0,78.1,464.0,416.7,496.0,343.5,60,14,14
2023,楽天,5369,3181,59.2,1268.7,1048.7,82.7,513.0,344.4,556.0,389.1,70,9,15
2023,西武,5222,3769,72.2,1270.0,1072.3,84.4,435.0,368.6,465.0,368.6,65,16,14
2023,阪神,5479,3779,69.0,1288.0,752.0,58.4,555.0,389.7,424.0,222.0,85,11,10
2024,DeNA,5393,4751,88.1,1285.3,609.3,47.4,522.0,517.9,503.0,210.0,71,16,11
2024,オリックス,5208,3842,73.8,1267.7,748.3,59.0,402.0,395.1,448.0,246.3,63,14,9
2024,ソフトバンク,5436,4149,76.3,1289.3,1093.3,84.8,607.0,435.0,390.0,337.3,91,15,14
2024,ヤクルト,5343,3992,74.7,1259.3,1017.0,80.8,506.0,439.8,556.0,379.8,62,13,17
2024,ロッテ,5386,3984,74.0,1276.3,1024.0,80.2,493.0,408.6,495.0,352.7,71,15,14
2024,中日,5277,3281,62.2,1288.0,1013.3,78.7,373.0,323.6,478.0,333.4,60,11,15
2024,巨人,5350,3979,74.4,1289.0,870.3,67.5,462.0,438.4,381.0,292.7,77,13,10
2024,広島,5193,4650,89.5,1280.0,866.3,67.7,415.0,485.3,419.0,300.6,68,14,10
2024,日本ハム,5364,3453,64.4,1305.0,891.7,68.3,532.0,348.0,485.0,299.7,75,13,13
2024,楽天,5350,5076,94.9,1276.7,931.7,73.0,492.0,530.4,579.0,326.5,67,15,12
2024,西武,5127,4349,84.8,1277.0,776.0,60.8,350.0,431.8,485.0,256.3,49,17,11
2024,阪神,5335,4855,91.0,1283.7,1050.0,81.8,485.0,504.4,420.0,292.2,74,15,13
2025,DeNA,5236,4362,83.3,1278.0,886.7,69.4,510.0,459.8,456.0,287.4,71,16,12
2025,オリックス,5448,5233,96.1,1289.7,770.3,59.7,502.0,531.7,519.0,233.4,74,16,11
2025,ソフトバンク,5338,5013,93.9,1279.0,973.3,76.1,551.0,522.6,389.0,285.0,87,18,13
2025,ヤクルト,5302,3680,69.4,1282.0,841.7,65.7,443.0,377.9,564.0,313.3,57,14,14
2025,ロッテ,5272,3035,57.6,1271.0,637.0,50.1,441.0,308.5,553.0,212.8,56,13,11
2025,中日,4900,3569,72.8,1277.3,1000.7,78.3,403.0,345.0,463.0,302.0,63,15,15
2025,巨人,5318,3334,62.7,1279.0,869.0,67.9,463.0,344.1,461.0,275.1,70,14,11
2025,広島,5238,3363,64.2,1272.7,1165.0,91.5,441.0,326.7,497.0,373.0,59,14,13
2025,日本ハム,5253,4579,87.2,1293.0,834.0,64.5,548.0,480.0,409.0,266.8,83,15,15
2025,楽天,4905,3441,70.2,1285.3,875.0,68.1,446.0,335.6,526.0,317.7,67,11,13
2025,西武,5259,2923,55.6,1280.3,944.0,73.7,410.0,270.2,465.0,291.8,63,12,11
2025,阪神,5412,4451,82.2,1305.0,818.7,62.7,496.0,468.4,352.0,215.6,85,12,11
