team,league,p_pennant,p_cs,median_wins,wins_80ci_lo,wins_80ci_hi,pf_5yr
阪神,CL,0.7816,0.9783,80.6,75.1,86.5,0.942
巨人,CL,0.1265,0.7841,74.4,69.7,79.4,0.981
DeNA,CL,0.0406,0.5239,71.8,67.1,76.7,1.102
広島,CL,0.0326,0.3815,70.5,65.4,75.7,0.996
中日,CL,0.0185,0.3077,69.8,65.0,74.9,0.844
ヤクルト,CL,0.0002,0.0245,64.2,60.2,68.6,1.129
ソフトバンク,PL,0.5516,0.9376,77.6,72.3,82.8,1.007
日本ハム,PL,0.2377,0.815,74.7,69.6,80.1,1.147
オリックス,PL,0.1539,0.74,73.6,68.8,78.6,0.943
西武,PL,0.0518,0.3983,70.5,65.7,75.6,0.962
ロッテ,PL,0.0031,0.0676,66.0,61.7,70.5,1.097
楽天,PL,0.0019,0.0415,65.2,61.0,69.6,0.908
